symbol,growth,death,score
600312.SSE,1.0079653,0.8359145,1.2154282621334354
002807.SZSE,1.0301691,0.8879025,1.195230824564266
200429.SZSE,1.030186,0.8918643,1.189960527058807
601899.SSE,1.0226595,0.902601,1.1586875384452582
002463.SZSE,1.0006831,0.8693211,1.1518949626126458
000552.SZSE,1.0176162,0.90440655,1.1449968348573936
200550.SZSE,1.0026734,0.88179845,1.1401175930994614
600012.SSE,1.0129721,0.90100336,1.1388553621977597
600548.SSE,1.0179564,0.9116284,1.136685907369962
300705.SZSE,1.0108821,0.90629745,1.127535672386688
000886.SZSE,0.9845634,0.8611081,1.12571822464661
000429.SZSE,1.0149094,0.91652215,1.1238583468974181
600575.SSE,1.0118741,0.91225755,1.122368513987927
601088.SSE,0.99991816,0.89387023,1.1185475181572133
601225.SSE,1.0123274,0.9173071,1.1171905837225047
600285.SSE,0.9924699,0.8841845,1.1140169710246672
603993.SSE,1.007292,0.91240406,1.112048139958221
601398.SSE,1.0458021,0.9859779,1.1092561809410846
002442.SZSE,1.0037075,0.9114635,1.10528704991713
600674.SSE,1.01166,0.93070596,1.0996554806092351
002818.SZSE,0.99694455,0.9065901,1.0963040790933927
600323.SSE,1.0054536,0.924652,1.0933161191369387
000528.SZSE,1.0117104,0.9407191,1.088059032927697
000543.SZSE,0.99715716,0.91696244,1.0843654506813951
600900.SSE,1.0118321,0.94533205,1.0830101811692152
002296.SZSE,0.9909793,0.90858734,1.0808427115206016
002270.SZSE,0.95046306,0.8385196,1.077351144509978
600035.SSE,1.0041118,0.9370724,1.0759472205786649
000983.SZSE,1.0098957,0.95583427,1.0670147762194977
